학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
백석대학교,사립,충남,33507876352,4355165520,46081294843,21564289209,14146700998,7417588211,5967
백석문화대학교,사립,충남,11766461979,591662300,14837163329,4317540002,2366877071,1950662931,1364
백제예술대학교,사립,전북,2224052626,239368800,2807685626,1175338077,740138077,435200000,334
부산가톨릭대학교,사립,부산,11737791572,1047755000,16075350566,3263837621,1797225931,1466611690,1088
부산경상대학교,사립,부산,7821514553,19268000,9685530924,873519414,334886074,538633340,332
부산과학기술대학교,사립,부산,12517137049,68846400,16430388478,1581982235,568447672,1013534563,658
부산교육대학교,국공립,부산,2393823680,100890000,3613922640,776300600,329000600,447300000,296
부산대학교,국공립,부산,40408511768,6702957920,60134538340,21512759521,11227626599,10285132922,6755
부산디지털대학교,사립,부산,4722132937,28140000,5436341928,902347300,125647300,776700000,431
부산보건대학교,사립,부산,8726625805,7497900,10557453862,2028373950,692073950,1336300000,886
부산여자대학교,사립,부산,6051575451,317933300,7421075585,1464283030,619083030,845200000,569
부산예술대학교,사립,부산,2595573014,4705000,3138582115,364256160,128756160,235500000,139
부산외국어대학교,사립,부산,16509644227,1613198820,23539128043,5412225125,2542953462,2869271663,1967
부산장신대학교,사립,경남,564930162,918000,729173140,734816150,451916150,282900000,201
부천대학교,사립,경기,23903596878,2021440375,30500573348,6408641308,3776223245,2632418063,2241
사이버한국외국어대학교,사립,서울,7246550327,118648000,9573469001,2411933110,637255320,1774677790,1033
삼육대학교,사립,서울,14612762452,1907919840,21608284524,5735370713,3716500756,2018869957,1731
삼육보건대학교,사립,서울,3141795818,294695880,4176811591,1234982090,712182090,522800000,444
상명대학교,사립,서울,29168512412,3545390600,44656668211,14988335427,10293393391,4694942036,4072
상지대학교,사립,강원,13285728486,1689069050,20756493444,6949880996,4159116503,2790764493,2053
서강대학교,사립,서울,12706119956,5114340200,25739870968,26638379868,21354449655,5283930213,4489
서경대학교,사립,서울,15041799325,3333695400,23895424006,7550543584,5215543584,2335000000,2155
서영대학교,사립,광주,16366764251,57848334,19291392552,3560116379,1323422927,2236693452,1455
서울과학기술대학교,국공립,서울,19368652341,2075685510,31205737972,8130933109,4332378600,3798554509,2705
서울교육대학교,국공립,서울,1721934776,156187000,2664739655,941862000,497312000,444550000,335
서울기독대학교,사립,서울,865272512,35070300,2072223830,548324519,324483120,223841399,160
서울대학교,국공립,서울,24052559368,4985516593,55264819196,26055585607,17774935607,8280650000,6196
서울디지털대학교,사립,서울,11737467400,202567200,17371358750,4171458084,688122250,3483335834,1911
서울사이버대학교,사립,서울,19256855250,91856700,27666384213,6588331082,1662447390,4925883692,2862
서울시립대학교,국공립,서울,12894619256,1214705750,20394425532,8243715520,3674180420,4569535100,2913
서울신학대학교,사립,경기,8305936518,975205100,10505888245,4506378318,2966895259,1539483059,1245
서울여자간호대학교,사립,서울,1853933698,280512067,2690290412,1144213813,644713813,499500000,387
서울여자대학교,사립,서울,16616956292,3548323980,25528477816,5832175423,3775608455,2056566968,1776
서울예술대학교,사립,경기,8563766716,1295883300,12508086343,6698431630,4191748290,2506683340,1804
서울장신대학교,사립,경기,1046324310,71147000,1561503635,1247363152,783713152,463650000,326
서울한영대학교,사립,서울,1951052128,97999000,2416750250,730927600,462277600,268650000,227
서원대학교,사립,충북,20740102888,526439640,30396300966,4563221706,2423480782,2139740924,1672
서일대학교,사립,서울,15276099329,1165332022,20828859640,5940157012,3648376052,2291780960,1989
서정대학교,사립,경기,22035640348,8358000,36065878205,2894046628,1263404956,1630641672,1098
선린대학교,사립,경북,6131239945,174319700,7746827210,1217009849,444126509,772883340,482
선문대학교,사립,충남,24565289317,2747928800,36563038445,8067079257,4758402577,3308676680,2563
성결대학교,사립,경기,12821131995,163273000,18678736589,6203050405,4172150405,2030900000,1874
성공회대학교,사립,서울,6734950645,822488030,9181954284,2202572378,1332976519,869595859,715
성균관대학교,사립,서울,31566702056,8108184100,65103841772,56746968249,46162540357,10584427892,9391
성신여자대학교,사립,서울,20603194379,3148177250,34697642139,9074289429,6245529779,2828759650,2442
성운대학교,사립,경북,5814963810,0,6960085400,218543400,87043400,131500000,86
세경대학교,사립,강원,2751639753,109124850,3665401131,341876000,119126000,222750000,137
세명대학교,사립,충북,18430234736,245832800,27135544315,5842705657,2972241921,2870463736,2034
세종사이버대학교,사립,서울,16853543703,10600000,20945861579,4104429340,796721000,3307708340,1943
세한대학교,사립,전남,10873957426,2993323500,15689289604,2350198396,1280745204,1069453192,749
송곡대학교,사립,강원,1885095409,23321018,2541742406,553820541,253620541,300200000,215
송원대학교,사립,광주,8998284248,0,12910635151,1337985411,503246440,834738971,542
송호대학교,사립,강원,2804236498,3760000,3542906073,974803250,447553250,527250000,332
수성대학교,사립,대구,12329601384,24878000,15925474730,1787940680,612574000,1175366680,735
수원과학대학교,사립,경기,6422453920,446417500,8515467444,2428963636,1223713247,1205250389,876
수원대학교,사립,경기,19062589249,2994113000,31646858717,7841856563,4890630011,2951226552,2359
수원여자대학교,사립,경기,9234750900,1052513867,12401768746,3565176941,2127168361,1438008580,1185
숙명여자대학교,사립,서울,21027099188,4000885400,37266114624,17079345602,12866157702,4213187900,3878
